<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MICEXINDEXCF [INDX],Daily,20010914,0,182.000000,182.000000,182.000000,182.000000,1.000000
MICEXINDEXCF [INDX],Daily,20010917,0,177.000000,177.000000,177.000000,177.000000,1.000000
MICEXINDEXCF [INDX],Daily,20010918,0,180.000000,180.000000,180.000000,180.000000,1.000000
MICEXINDEXCF [INDX],Daily,20010919,0,184.000000,184.000000,184.000000,184.000000,1.000000
MICEXINDEXCF [INDX],Daily,20010920,0,182.000000,182.000000,182.000000,182.000000,1.000000
MICEXINDEXCF [INDX],Daily,20010921,0,174.000000,174.000000,174.000000,174.000000,1.000000
MICEXINDEXCF [INDX],Daily,20010924,0,175.000000,175.000000,175.000000,175.000000,1.000000
MICEXINDEXCF [INDX],Daily,20010925,0,168.000000,168.000000,168.000000,168.000000,1.000000
MICEXINDEXCF [INDX],Daily,20010926,0,167.000000,167.000000,167.000000,167.000000,1.000000
MICEXINDEXCF [INDX],Daily,20010927,0,165.000000,165.000000,165.000000,165.000000,1.000000
MICEXINDEXCF [INDX],Daily,20010928,0,167.000000,167.000000,167.000000,167.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011001,0,168.000000,168.000000,168.000000,168.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011002,0,164.000000,164.000000,164.000000,164.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011003,0,160.000000,160.000000,160.000000,160.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011004,0,160.000000,160.000000,160.000000,160.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011005,0,160.000000,160.000000,160.000000,160.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011008,0,158.000000,158.000000,158.000000,158.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011009,0,161.000000,161.000000,161.000000,161.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011010,0,166.000000,166.000000,166.000000,166.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011011,0,171.000000,171.000000,171.000000,171.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011012,0,173.000000,173.000000,173.000000,173.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011015,0,171.000000,171.000000,171.000000,171.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011016,0,174.000000,174.000000,174.000000,174.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011017,0,179.000000,179.000000,179.000000,179.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011018,0,174.000000,174.000000,174.000000,174.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011019,0,172.000000,172.000000,172.000000,172.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011022,0,177.000000,177.000000,177.000000,177.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011023,0,179.000000,179.000000,179.000000,179.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011024,0,181.000000,181.000000,181.000000,181.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011025,0,180.000000,180.000000,180.000000,180.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011026,0,180.000000,180.000000,180.000000,180.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011029,0,182.000000,182.000000,182.000000,182.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011030,0,186.000000,186.000000,186.000000,186.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011031,0,187.000000,187.000000,187.000000,187.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011101,0,188.000000,188.000000,188.000000,188.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011102,0,190.000000,190.000000,190.000000,190.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011105,0,192.000000,192.000000,192.000000,192.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011106,0,191.000000,191.000000,191.000000,191.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011108,0,197.000000,197.000000,197.000000,197.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011109,0,205.000000,205.000000,205.000000,205.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011112,0,209.000000,209.000000,209.000000,209.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011113,0,216.000000,216.000000,216.000000,216.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011114,0,220.000000,220.000000,220.000000,220.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011115,0,205.000000,205.000000,205.000000,205.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011116,0,201.000000,201.000000,201.000000,201.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011119,0,206.000000,206.000000,206.000000,206.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011120,0,210.000000,210.000000,210.000000,210.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011121,0,207.000000,207.000000,207.000000,207.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011122,0,213.000000,213.000000,213.000000,213.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011123,0,213.000000,213.000000,213.000000,213.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011126,0,216.000000,216.000000,216.000000,216.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011127,0,217.000000,217.000000,217.000000,217.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011128,0,214.000000,214.000000,214.000000,214.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011129,0,209.000000,209.000000,209.000000,209.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011130,0,213.000000,213.000000,213.000000,213.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011203,0,212.000000,212.000000,212.000000,212.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011204,0,218.000000,218.000000,218.000000,218.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011205,0,221.000000,221.000000,221.000000,221.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011206,0,225.000000,225.000000,225.000000,225.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011207,0,222.000000,222.000000,222.000000,222.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011210,0,226.000000,226.000000,226.000000,226.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011211,0,227.000000,227.000000,227.000000,227.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011213,0,221.000000,221.000000,221.000000,221.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011214,0,215.000000,215.000000,215.000000,215.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011217,0,220.000000,220.000000,220.000000,220.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011218,0,222.000000,222.000000,222.000000,222.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011219,0,225.000000,225.000000,225.000000,225.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011220,0,229.000000,229.000000,229.000000,229.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011221,0,228.000000,228.000000,228.000000,228.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011224,0,234.000000,234.000000,234.000000,234.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011225,0,231.000000,231.000000,231.000000,231.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011226,0,230.000000,230.000000,230.000000,230.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011227,0,233.000000,233.000000,233.000000,233.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011228,0,236.000000,236.000000,236.000000,236.000000,1.000000
MICEXINDEXCF [INDX],Daily,20011229,0,237.000000,237.000000,237.000000,237.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020103,0,246.000000,246.000000,246.000000,246.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020104,0,256.000000,256.000000,256.000000,256.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020108,0,268.000000,268.000000,268.000000,268.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020109,0,268.000000,268.000000,268.000000,268.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020110,0,265.000000,265.000000,265.000000,265.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020111,0,265.000000,265.000000,265.000000,265.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020114,0,258.000000,258.000000,258.000000,258.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020115,0,255.000000,255.000000,255.000000,255.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020116,0,258.000000,258.000000,258.000000,258.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020117,0,261.000000,261.000000,261.000000,261.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020118,0,266.000000,266.000000,266.000000,266.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020121,0,266.000000,266.000000,266.000000,266.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020122,0,272.000000,272.000000,272.000000,272.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020123,0,273.000000,273.000000,273.000000,273.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020124,0,263.000000,263.000000,263.000000,263.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020125,0,255.000000,255.000000,255.000000,255.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020128,0,255.000000,255.000000,255.000000,255.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020129,0,262.000000,262.000000,262.000000,262.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020130,0,256.000000,256.000000,256.000000,256.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020131,0,260.000000,260.000000,260.000000,260.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020201,0,262.000000,262.000000,262.000000,262.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020204,0,257.000000,257.000000,257.000000,257.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020205,0,255.000000,255.000000,255.000000,255.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020206,0,260.000000,260.000000,260.000000,260.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020207,0,265.000000,265.000000,265.000000,265.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020208,0,267.000000,267.000000,267.000000,267.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020211,0,267.000000,267.000000,267.000000,267.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020212,0,269.000000,269.000000,269.000000,269.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020213,0,266.000000,266.000000,266.000000,266.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020214,0,262.000000,262.000000,262.000000,262.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020215,0,262.000000,262.000000,262.000000,262.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020218,0,256.000000,256.000000,256.000000,256.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020219,0,257.000000,257.000000,257.000000,257.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020220,0,250.000000,250.000000,250.000000,250.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020221,0,255.000000,255.000000,255.000000,255.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020222,0,262.000000,262.000000,262.000000,262.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020226,0,268.000000,268.000000,268.000000,268.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020227,0,264.000000,264.000000,264.000000,264.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020228,0,262.000000,262.000000,262.000000,262.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020301,0,270.000000,270.000000,270.000000,270.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020304,0,278.000000,278.000000,278.000000,278.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020305,0,275.000000,275.000000,275.000000,275.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020306,0,274.000000,274.000000,274.000000,274.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020307,0,281.000000,281.000000,281.000000,281.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020311,0,279.000000,279.000000,279.000000,279.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020312,0,274.000000,274.000000,274.000000,274.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020313,0,278.000000,278.000000,278.000000,278.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020314,0,281.000000,281.000000,281.000000,281.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020315,0,287.000000,287.000000,287.000000,287.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020318,0,294.000000,294.000000,294.000000,294.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020319,0,294.000000,294.000000,294.000000,294.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020320,0,288.000000,288.000000,288.000000,288.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020321,0,290.000000,290.000000,290.000000,290.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020322,0,295.000000,295.000000,295.000000,295.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020325,0,293.000000,293.000000,293.000000,293.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020326,0,286.000000,286.000000,286.000000,286.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020327,0,292.000000,292.000000,292.000000,292.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020328,0,299.000000,299.000000,299.000000,299.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020329,0,302.000000,302.000000,302.000000,302.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020401,0,302.000000,302.000000,302.000000,302.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020402,0,301.000000,301.000000,301.000000,301.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020403,0,293.000000,293.000000,293.000000,293.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020404,0,293.000000,293.000000,293.000000,293.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020405,0,295.000000,295.000000,295.000000,295.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020408,0,296.000000,296.000000,296.000000,296.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020409,0,304.000000,304.000000,304.000000,304.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020410,0,311.000000,311.000000,311.000000,311.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020411,0,315.000000,315.000000,315.000000,315.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020412,0,314.000000,314.000000,314.000000,314.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020415,0,320.000000,320.000000,320.000000,320.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020416,0,324.000000,324.000000,324.000000,324.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020417,0,328.000000,328.000000,328.000000,328.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020418,0,336.000000,336.000000,336.000000,336.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020419,0,339.000000,339.000000,339.000000,339.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020422,0,341.000000,341.000000,341.000000,341.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020423,0,337.000000,337.000000,337.000000,337.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020424,0,339.000000,339.000000,339.000000,339.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020425,0,337.000000,337.000000,337.000000,337.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020426,0,343.000000,343.000000,343.000000,343.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020427,0,344.000000,344.000000,344.000000,344.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020429,0,347.000000,347.000000,347.000000,347.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020430,0,343.000000,343.000000,343.000000,343.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020506,0,340.000000,340.000000,340.000000,340.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020507,0,328.000000,328.000000,328.000000,328.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020508,0,329.000000,329.000000,329.000000,329.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020513,0,328.000000,328.000000,328.000000,328.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020514,0,340.000000,340.000000,340.000000,340.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020515,0,346.000000,346.000000,346.000000,346.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020516,0,344.000000,344.000000,344.000000,344.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020517,0,349.000000,349.000000,349.000000,349.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020518,0,352.000000,352.000000,352.000000,352.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020520,0,355.000000,355.000000,355.000000,355.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020521,0,349.000000,349.000000,349.000000,349.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020522,0,344.000000,344.000000,344.000000,344.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020523,0,347.000000,347.000000,347.000000,347.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020524,0,341.000000,341.000000,341.000000,341.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020527,0,345.000000,345.000000,345.000000,345.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020529,0,335.000000,335.000000,335.000000,335.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020530,0,336.000000,336.000000,336.000000,336.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020531,0,333.000000,333.000000,333.000000,333.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020603,0,333.000000,333.000000,333.000000,333.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020604,0,326.000000,326.000000,326.000000,326.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020605,0,328.000000,328.000000,328.000000,328.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020606,0,334.000000,334.000000,334.000000,334.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020607,0,330.000000,330.000000,330.000000,330.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020610,0,338.000000,338.000000,338.000000,338.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020611,0,337.000000,337.000000,337.000000,337.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020613,0,338.000000,338.000000,338.000000,338.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020614,0,330.000000,330.000000,330.000000,330.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020617,0,327.000000,327.000000,327.000000,327.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020618,0,320.000000,320.000000,320.000000,320.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020619,0,312.000000,312.000000,312.000000,312.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020620,0,307.000000,307.000000,307.000000,307.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020621,0,297.000000,297.000000,297.000000,297.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020624,0,298.000000,298.000000,298.000000,298.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020625,0,300.000000,300.000000,300.000000,300.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020626,0,290.000000,290.000000,290.000000,290.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020627,0,299.000000,299.000000,299.000000,299.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020628,0,304.000000,304.000000,304.000000,304.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020701,0,306.000000,306.000000,306.000000,306.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020702,0,305.000000,305.000000,305.000000,305.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020703,0,300.000000,300.000000,300.000000,300.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020704,0,309.000000,309.000000,309.000000,309.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020705,0,316.000000,316.000000,316.000000,316.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020708,0,316.000000,316.000000,316.000000,316.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020709,0,319.000000,319.000000,319.000000,319.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020710,0,324.000000,324.000000,324.000000,324.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020711,0,318.000000,318.000000,318.000000,318.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020712,0,318.000000,318.000000,318.000000,318.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020715,0,312.000000,312.000000,312.000000,312.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020716,0,308.000000,308.000000,308.000000,308.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020717,0,312.000000,312.000000,312.000000,312.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020718,0,318.000000,318.000000,318.000000,318.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020719,0,314.000000,314.000000,314.000000,314.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020722,0,305.000000,305.000000,305.000000,305.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020723,0,302.000000,302.000000,302.000000,302.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020724,0,285.000000,285.000000,285.000000,285.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020725,0,285.000000,285.000000,285.000000,285.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020726,0,275.000000,275.000000,275.000000,275.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020729,0,286.000000,286.000000,286.000000,286.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020730,0,286.000000,286.000000,286.000000,286.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020731,0,281.000000,281.000000,281.000000,281.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020801,0,283.000000,283.000000,283.000000,283.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020802,0,280.000000,280.000000,280.000000,280.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020805,0,272.000000,272.000000,272.000000,272.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020806,0,269.000000,269.000000,269.000000,269.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020807,0,280.000000,280.000000,280.000000,280.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020808,0,285.000000,285.000000,285.000000,285.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020809,0,284.000000,284.000000,284.000000,284.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020812,0,283.000000,283.000000,283.000000,283.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020813,0,287.000000,287.000000,287.000000,287.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020814,0,291.000000,291.000000,291.000000,291.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020815,0,297.000000,297.000000,297.000000,297.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020816,0,294.000000,294.000000,294.000000,294.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020819,0,299.000000,299.000000,299.000000,299.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020820,0,304.000000,304.000000,304.000000,304.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020821,0,304.000000,304.000000,304.000000,304.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020822,0,307.000000,307.000000,307.000000,307.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020823,0,303.000000,303.000000,303.000000,303.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020826,0,300.000000,300.000000,300.000000,300.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020827,0,304.000000,304.000000,304.000000,304.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020828,0,303.000000,303.000000,303.000000,303.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020829,0,293.000000,293.000000,293.000000,293.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020830,0,292.000000,292.000000,292.000000,292.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020902,0,287.000000,287.000000,287.000000,287.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020903,0,284.000000,284.000000,284.000000,284.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020904,0,285.000000,285.000000,285.000000,285.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020905,0,286.000000,286.000000,286.000000,286.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020906,0,288.000000,288.000000,288.000000,288.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020909,0,289.000000,289.000000,289.000000,289.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020910,0,294.000000,294.000000,294.000000,294.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020911,0,298.000000,298.000000,298.000000,298.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020912,0,296.000000,296.000000,296.000000,296.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020913,0,290.000000,290.000000,290.000000,290.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020916,0,289.000000,289.000000,289.000000,289.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020917,0,292.000000,292.000000,292.000000,292.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020918,0,284.000000,284.000000,284.000000,284.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020919,0,282.000000,282.000000,282.000000,282.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020920,0,285.000000,285.000000,285.000000,285.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020923,0,289.000000,289.000000,289.000000,289.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020924,0,289.000000,289.000000,289.000000,289.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020925,0,293.000000,293.000000,293.000000,293.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020926,0,298.000000,298.000000,298.000000,298.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020927,0,295.000000,295.000000,295.000000,295.000000,1.000000
MICEXINDEXCF [INDX],Daily,20020930,0,289.000000,289.000000,289.000000,289.000000,1.000000
MICEXINDEXCF [INDX],Daily,20021001,0,288.000000,288.000000,288.000000,288.000000,1.000000
MICEXINDEXCF [INDX],Daily,20021002,0,295.000000,295.000000,295.000000,295.000000,1.000000
MICEXINDEXCF [INDX],Daily,20021003,0,298.000000,298.000000,298.000000,298.000000,1.000000
