<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP [TQBR],Daily,20060123,0,239.500000,239.500000,218.490000,218.850000,512077.000000
GAZP [TQBR],Daily,20060124,0,221.000000,224.680000,219.660000,223.800000,898319.000000
GAZP [TQBR],Daily,20060125,0,225.500000,231.000000,225.000000,228.460000,1548037.000000
GAZP [TQBR],Daily,20060126,0,228.200000,229.410000,223.510000,225.010000,758876.000000
GAZP [TQBR],Daily,20060127,0,225.750000,231.500000,224.000000,228.250000,1272972.000000
GAZP [TQBR],Daily,20060130,0,231.040000,231.070000,215.000000,216.920000,1725193.000000
GAZP [TQBR],Daily,20060131,0,218.000000,224.230000,215.710000,218.140000,1173723.000000
GAZP [TQBR],Daily,20060201,0,219.500000,223.990000,215.000000,223.990000,856474.000000
GAZP [TQBR],Daily,20060202,0,223.950000,224.500000,220.000000,220.660000,544654.000000
GAZP [TQBR],Daily,20060203,0,218.800000,221.300000,217.010000,220.700000,538799.000000
GAZP [TQBR],Daily,20060206,0,221.630000,222.450000,219.160000,220.120000,637569.000000
GAZP [TQBR],Daily,20060207,0,220.000000,220.700000,218.200000,220.220000,827043.000000
GAZP [TQBR],Daily,20060208,0,218.260000,221.590000,215.500000,221.000000,943435.000000
GAZP [TQBR],Daily,20060209,0,221.490000,224.800000,220.500000,222.020000,977797.000000
GAZP [TQBR],Daily,20060210,0,222.250000,223.600000,221.510000,222.000000,591860.000000
GAZP [TQBR],Daily,20060213,0,221.980000,222.000000,218.570000,219.950000,787902.000000
GAZP [TQBR],Daily,20060214,0,219.840000,220.850000,218.600000,219.950000,379153.000000
GAZP [TQBR],Daily,20060215,0,217.930000,220.000000,217.930000,219.550000,354904.000000
GAZP [TQBR],Daily,20060216,0,219.960000,220.470000,218.930000,220.000000,451463.000000
GAZP [TQBR],Daily,20060217,0,220.500000,227.330000,220.500000,226.360000,1922925.000000
GAZP [TQBR],Daily,20060220,0,227.570000,229.990000,227.370000,228.200000,838404.000000
GAZP [TQBR],Daily,20060221,0,230.000000,230.160000,224.550000,225.140000,1082460.000000
GAZP [TQBR],Daily,20060222,0,225.100000,226.500000,224.110000,225.220000,600748.000000
GAZP [TQBR],Daily,20060226,0,225.490000,229.600000,225.380000,227.520000,890374.000000
GAZP [TQBR],Daily,20060227,0,227.780000,228.200000,225.050000,225.440000,932012.000000
GAZP [TQBR],Daily,20060228,0,225.210000,225.300000,217.010000,218.260000,1143945.000000
GAZP [TQBR],Daily,20060301,0,219.000000,220.500000,214.600000,217.160000,1109456.000000
GAZP [TQBR],Daily,20060302,0,218.870000,220.860000,217.500000,218.550000,779547.000000
GAZP [TQBR],Daily,20060303,0,220.000000,228.900000,220.000000,227.910000,2882056.000000
GAZP [TQBR],Daily,20060306,0,230.050000,239.370000,230.050000,231.850000,2573362.000000
GAZP [TQBR],Daily,20060307,0,230.500000,230.500000,221.970000,223.160000,1879099.000000
GAZP [TQBR],Daily,20060309,0,219.010000,221.800000,215.110000,218.870000,1644806.000000
GAZP [TQBR],Daily,20060310,0,219.800000,221.880000,216.300000,217.540000,1252517.000000
GAZP [TQBR],Daily,20060313,0,219.000000,223.490000,218.210000,223.300000,1703023.000000
GAZP [TQBR],Daily,20060314,0,224.830000,225.550000,218.220000,220.350000,1528342.000000
GAZP [TQBR],Daily,20060315,0,222.000000,223.300000,219.550000,221.230000,1088324.000000
GAZP [TQBR],Daily,20060316,0,221.430000,223.000000,219.400000,220.870000,794560.000000
GAZP [TQBR],Daily,20060317,0,221.990000,229.490000,221.410000,228.900000,2312862.000000
GAZP [TQBR],Daily,20060320,0,230.000000,232.200000,224.500000,226.040000,1707987.000000
GAZP [TQBR],Daily,20060321,0,224.500000,227.200000,222.600000,223.630000,1318262.000000
GAZP [TQBR],Daily,20060322,0,225.500000,225.600000,223.700000,225.020000,676062.000000
GAZP [TQBR],Daily,20060323,0,224.880000,228.250000,224.880000,226.440000,1657621.000000
GAZP [TQBR],Daily,20060324,0,226.600000,229.910000,225.550000,228.790000,1170246.000000
GAZP [TQBR],Daily,20060327,0,230.560000,235.280000,229.160000,232.180000,2291620.000000
GAZP [TQBR],Daily,20060328,0,231.630000,232.000000,227.790000,228.120000,1223123.000000
GAZP [TQBR],Daily,20060329,0,228.000000,229.300000,227.000000,228.620000,939706.000000
GAZP [TQBR],Daily,20060330,0,230.000000,231.490000,229.500000,230.320000,1667814.000000
GAZP [TQBR],Daily,20060331,0,230.500000,233.400000,229.500000,230.310000,1923667.000000
