<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFLT [TQBR],Daily,20021017,0,8.720000,8.970000,8.510000,8.970000,555.000000
AFLT [TQBR],Daily,20021018,0,8.990000,9.100000,8.990000,9.040000,71.000000
AFLT [TQBR],Daily,20021021,0,9.050000,9.050000,9.000000,9.040000,178.000000
AFLT [TQBR],Daily,20021022,0,9.020000,9.020000,8.950000,9.000000,42.000000
AFLT [TQBR],Daily,20021023,0,9.000000,9.150000,8.950000,9.150000,372.000000
AFLT [TQBR],Daily,20021024,0,8.800000,9.250000,8.800000,9.250000,537.000000
AFLT [TQBR],Daily,20021025,0,9.200000,9.940000,9.200000,9.910000,1229.000000
AFLT [TQBR],Daily,20021028,0,10.000000,10.900000,10.000000,10.760000,3775.000000
AFLT [TQBR],Daily,20021029,0,10.500000,10.750000,9.900000,9.950000,1131.000000
AFLT [TQBR],Daily,20021030,0,10.300000,10.370000,9.780000,10.290000,917.000000
AFLT [TQBR],Daily,20021031,0,10.140000,10.400000,9.900000,10.210000,456.000000
AFLT [TQBR],Daily,20021101,0,10.200000,10.200000,9.930000,10.100000,397.000000
AFLT [TQBR],Daily,20021104,0,10.000000,10.230000,10.000000,10.210000,106.000000
AFLT [TQBR],Daily,20021105,0,10.200000,10.290000,10.000000,10.170000,281.000000
AFLT [TQBR],Daily,20021106,0,10.190000,10.270000,9.900000,9.900000,613.000000
AFLT [TQBR],Daily,20021110,0,10.000000,10.000000,9.800000,9.850000,305.000000
AFLT [TQBR],Daily,20021111,0,9.750000,9.800000,9.520000,9.800000,710.000000
AFLT [TQBR],Daily,20021112,0,9.800000,9.980000,9.800000,9.920000,561.000000
AFLT [TQBR],Daily,20021113,0,10.020000,10.020000,9.710000,9.720000,166.000000
AFLT [TQBR],Daily,20021114,0,9.990000,10.000000,9.770000,10.000000,406.000000
AFLT [TQBR],Daily,20021115,0,10.000000,10.100000,9.970000,10.000000,798.000000
AFLT [TQBR],Daily,20021118,0,10.020000,10.100000,9.950000,10.070000,173.000000
AFLT [TQBR],Daily,20021119,0,9.770000,10.110000,9.710000,10.110000,502.000000
AFLT [TQBR],Daily,20021120,0,10.100000,10.640000,10.100000,10.420000,1645.000000
AFLT [TQBR],Daily,20021121,0,10.480000,10.480000,10.220000,10.300000,334.000000
AFLT [TQBR],Daily,20021122,0,10.500000,10.570000,10.250000,10.570000,1030.000000
AFLT [TQBR],Daily,20021125,0,10.550000,10.840000,10.500000,10.500000,936.000000
AFLT [TQBR],Daily,20021126,0,10.490000,10.650000,10.490000,10.510000,1961.000000
AFLT [TQBR],Daily,20021127,0,10.420000,10.730000,10.420000,10.660000,1769.000000
AFLT [TQBR],Daily,20021128,0,10.560000,10.750000,10.010000,10.700000,1276.000000
AFLT [TQBR],Daily,20021129,0,10.600000,10.830000,10.600000,10.700000,190.000000
AFLT [TQBR],Daily,20021202,0,10.850000,10.940000,10.760000,10.770000,592.000000
AFLT [TQBR],Daily,20021203,0,10.890000,10.920000,10.510000,10.510000,476.000000
AFLT [TQBR],Daily,20021204,0,10.600000,10.600000,10.400000,10.500000,323.000000
AFLT [TQBR],Daily,20021205,0,10.500000,10.500000,10.260000,10.260000,302.000000
AFLT [TQBR],Daily,20021206,0,10.480000,10.480000,10.220000,10.250000,338.000000
AFLT [TQBR],Daily,20021209,0,10.450000,10.800000,10.400000,10.690000,1248.000000
AFLT [TQBR],Daily,20021210,0,10.420000,10.690000,10.350000,10.350000,821.000000
AFLT [TQBR],Daily,20021212,0,10.310000,10.490000,10.260000,10.430000,214.000000
AFLT [TQBR],Daily,20021215,0,10.080000,10.400000,10.070000,10.390000,23.000000
AFLT [TQBR],Daily,20021216,0,10.300000,10.300000,10.200000,10.200000,286.000000
AFLT [TQBR],Daily,20021217,0,10.260000,10.400000,10.210000,10.390000,215.000000
AFLT [TQBR],Daily,20021218,0,10.210000,10.240000,10.110000,10.240000,377.000000
AFLT [TQBR],Daily,20021219,0,10.160000,11.000000,10.150000,10.670000,2484.000000
AFLT [TQBR],Daily,20021220,0,10.990000,11.400000,10.750000,10.900000,3840.000000
AFLT [TQBR],Daily,20021223,0,10.710000,10.790000,10.600000,10.610000,835.000000
AFLT [TQBR],Daily,20021224,0,10.800000,11.270000,10.760000,10.900000,4993.000000
AFLT [TQBR],Daily,20021225,0,11.170000,11.170000,10.800000,10.850000,724.000000
AFLT [TQBR],Daily,20021226,0,10.990000,11.100000,10.800000,11.000000,757.000000
AFLT [TQBR],Daily,20021227,0,10.980000,11.000000,10.900000,10.990000,374.000000
AFLT [TQBR],Daily,20021230,0,10.900000,11.070000,10.850000,10.850000,1887.000000
AFLT [TQBR],Daily,20021231,0,11.000000,11.090000,10.850000,10.850000,530.000000
AFLT [TQBR],Daily,20030104,0,11.130000,11.130000,10.750000,10.880000,29.000000
AFLT [TQBR],Daily,20030105,0,11.020000,11.020000,10.900000,10.900000,25.000000
AFLT [TQBR],Daily,20030108,0,11.000000,11.000000,10.670000,10.900000,270.000000
AFLT [TQBR],Daily,20030109,0,11.000000,11.260000,11.000000,11.150000,1438.000000
AFLT [TQBR],Daily,20030110,0,10.460000,11.450000,10.460000,11.270000,568.000000
AFLT [TQBR],Daily,20030113,0,11.400000,11.430000,11.180000,11.180000,630.000000
AFLT [TQBR],Daily,20030114,0,11.100000,11.350000,11.100000,11.110000,92.000000
AFLT [TQBR],Daily,20030115,0,11.150000,11.300000,10.810000,11.060000,417.000000
AFLT [TQBR],Daily,20030116,0,11.150000,11.200000,10.860000,11.000000,496.000000
AFLT [TQBR],Daily,20030117,0,11.020000,11.020000,10.900000,10.950000,1160.000000
AFLT [TQBR],Daily,20030120,0,10.860000,11.000000,10.800000,10.900000,564.000000
AFLT [TQBR],Daily,20030121,0,10.850000,10.950000,10.550000,10.550000,614.000000
AFLT [TQBR],Daily,20030122,0,10.960000,10.960000,10.600000,10.760000,71.000000
AFLT [TQBR],Daily,20030123,0,10.510000,10.600000,10.500000,10.500000,81.000000
AFLT [TQBR],Daily,20030124,0,10.970000,11.000000,10.680000,10.800000,839.000000
AFLT [TQBR],Daily,20030127,0,10.540000,10.590000,10.540000,10.550000,30.000000
AFLT [TQBR],Daily,20030128,0,10.500000,10.870000,10.500000,10.870000,629.000000
AFLT [TQBR],Daily,20030129,0,10.850000,10.970000,10.830000,10.900000,775.000000
AFLT [TQBR],Daily,20030130,0,11.040000,11.070000,10.850000,10.870000,733.000000
AFLT [TQBR],Daily,20030131,0,10.940000,11.000000,10.900000,10.970000,1077.000000
