<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN [TQBR],Daily,20030203,0,782.500000,784.890000,765.000000,779.990000,130955.000000
GMKN [TQBR],Daily,20030204,0,780.000000,798.500000,776.200000,786.000000,141846.000000
GMKN [TQBR],Daily,20030205,0,785.010000,790.000000,778.060000,788.000000,66565.000000
GMKN [TQBR],Daily,20030206,0,787.950000,787.950000,770.000000,776.290000,92651.000000
GMKN [TQBR],Daily,20030207,0,775.990000,789.990000,774.100000,786.380000,112365.000000
GMKN [TQBR],Daily,20030210,0,784.000000,798.600000,779.000000,796.000000,112165.000000
GMKN [TQBR],Daily,20030211,0,795.000000,799.500000,786.980000,795.000000,88448.000000
GMKN [TQBR],Daily,20030212,0,794.980000,795.000000,763.010000,765.000000,123705.000000
GMKN [TQBR],Daily,20030213,0,765.000000,772.940000,755.500000,771.180000,67765.000000
GMKN [TQBR],Daily,20030214,0,772.900000,775.000000,767.000000,774.000000,40488.000000
GMKN [TQBR],Daily,20030217,0,777.500000,783.330000,774.700000,779.930000,27681.000000
GMKN [TQBR],Daily,20030218,0,791.220000,791.220000,775.000000,781.980000,18613.000000
GMKN [TQBR],Daily,20030219,0,781.990000,782.700000,764.000000,765.000000,44089.000000
GMKN [TQBR],Daily,20030220,0,768.000000,780.000000,765.000000,774.610000,43813.000000
GMKN [TQBR],Daily,20030221,0,775.000000,783.900000,773.000000,776.100000,46986.000000
GMKN [TQBR],Daily,20030225,0,781.000000,786.990000,773.000000,775.970000,48225.000000
GMKN [TQBR],Daily,20030226,0,779.000000,779.000000,761.500000,769.080000,71151.000000
GMKN [TQBR],Daily,20030227,0,770.000000,779.000000,765.000000,778.140000,53308.000000
GMKN [TQBR],Daily,20030228,0,628.650000,790.000000,628.650000,789.900000,67336.000000
GMKN [TQBR],Daily,20030303,0,792.000000,817.000000,790.000000,813.230000,115983.000000
GMKN [TQBR],Daily,20030304,0,811.000000,821.950000,807.000000,809.200000,49816.000000
GMKN [TQBR],Daily,20030305,0,810.000000,821.300000,800.250000,820.460000,94660.000000
GMKN [TQBR],Daily,20030306,0,821.000000,836.000000,818.000000,831.010000,109722.000000
GMKN [TQBR],Daily,20030307,0,830.000000,845.000000,815.000000,820.850000,191350.000000
GMKN [TQBR],Daily,20030311,0,820.000000,836.990000,805.000000,828.400000,114688.000000
GMKN [TQBR],Daily,20030312,0,830.100000,835.990000,815.300000,819.000000,65909.000000
GMKN [TQBR],Daily,20030313,0,820.000000,839.020000,817.000000,834.700000,114991.000000
GMKN [TQBR],Daily,20030314,0,839.000000,843.990000,825.200000,827.000000,88940.000000
GMKN [TQBR],Daily,20030317,0,825.000000,825.000000,813.000000,815.740000,62173.000000
GMKN [TQBR],Daily,20030318,0,818.980000,818.980000,793.000000,796.200000,55928.000000
GMKN [TQBR],Daily,20030319,0,795.000000,810.000000,793.010000,807.000000,29016.000000
GMKN [TQBR],Daily,20030320,0,811.950000,811.950000,781.000000,792.870000,43998.000000
GMKN [TQBR],Daily,20030321,0,799.000000,813.960000,787.000000,812.000000,38127.000000
GMKN [TQBR],Daily,20030324,0,811.000000,814.950000,795.100000,807.490000,78375.000000
GMKN [TQBR],Daily,20030325,0,807.500000,810.800000,793.200000,798.890000,42015.000000
GMKN [TQBR],Daily,20030326,0,804.000000,804.000000,777.010000,779.000000,45959.000000
GMKN [TQBR],Daily,20030327,0,779.000000,782.930000,753.020000,755.600000,140091.000000
GMKN [TQBR],Daily,20030328,0,756.000000,766.900000,748.010000,758.150000,80824.000000
GMKN [TQBR],Daily,20030331,0,753.000000,757.980000,745.520000,746.930000,32460.000000
GMKN [TQBR],Daily,20030401,0,748.890000,760.000000,748.890000,756.450000,50899.000000
GMKN [TQBR],Daily,20030402,0,759.980000,769.000000,759.980000,767.360000,58707.000000
GMKN [TQBR],Daily,20030403,0,766.000000,772.000000,750.000000,754.310000,53911.000000
GMKN [TQBR],Daily,20030404,0,758.500000,758.500000,741.010000,744.000000,87395.000000
GMKN [TQBR],Daily,20030407,0,748.690000,753.300000,744.020000,750.000000,57563.000000
GMKN [TQBR],Daily,20030408,0,749.500000,756.000000,747.000000,751.340000,74838.000000
GMKN [TQBR],Daily,20030409,0,752.000000,763.500000,750.000000,760.640000,197373.000000
GMKN [TQBR],Daily,20030410,0,716.450000,769.400000,716.450000,760.000000,125555.000000
GMKN [TQBR],Daily,20030411,0,612.860000,764.700000,612.860000,762.000000,41250.000000
GMKN [TQBR],Daily,20030414,0,763.490000,766.990000,750.120000,751.000000,88360.000000
GMKN [TQBR],Daily,20030415,0,753.280000,760.000000,748.000000,759.000000,114347.000000
GMKN [TQBR],Daily,20030416,0,761.000000,773.000000,753.200000,753.250000,146588.000000
GMKN [TQBR],Daily,20030417,0,751.500000,758.000000,746.500000,749.620000,71659.000000
GMKN [TQBR],Daily,20030418,0,752.000000,764.800000,751.600000,762.950000,143066.000000
GMKN [TQBR],Daily,20030421,0,765.700000,776.000000,760.000000,766.000000,155717.000000
GMKN [TQBR],Daily,20030422,0,764.250000,770.500000,763.990000,767.000000,30242.000000
GMKN [TQBR],Daily,20030423,0,768.000000,798.900000,767.000000,793.000000,224099.000000
GMKN [TQBR],Daily,20030424,0,798.500000,798.500000,775.000000,779.490000,137570.000000
GMKN [TQBR],Daily,20030425,0,779.000000,784.000000,763.200000,765.150000,69545.000000
GMKN [TQBR],Daily,20030428,0,764.000000,764.000000,745.100000,748.000000,228892.000000
GMKN [TQBR],Daily,20030429,0,749.000000,754.000000,737.000000,749.100000,137291.000000
GMKN [TQBR],Daily,20030430,0,750.000000,753.500000,710.000000,715.670000,167918.000000
GMKN [TQBR],Daily,20030505,0,714.000000,740.500000,714.000000,740.000000,99770.000000
GMKN [TQBR],Daily,20030506,0,739.500000,765.000000,734.010000,763.150000,196449.000000
GMKN [TQBR],Daily,20030507,0,769.000000,769.000000,752.000000,755.000000,120810.000000
GMKN [TQBR],Daily,20030508,0,759.500000,759.500000,750.000000,755.500000,40979.000000
GMKN [TQBR],Daily,20030512,0,756.000000,766.000000,756.000000,764.700000,104007.000000
GMKN [TQBR],Daily,20030513,0,764.400000,792.600000,764.400000,789.400000,322971.000000
GMKN [TQBR],Daily,20030514,0,791.760000,794.500000,780.020000,785.260000,189389.000000
GMKN [TQBR],Daily,20030515,0,780.000000,790.750000,772.000000,780.000000,124997.000000
GMKN [TQBR],Daily,20030516,0,780.120000,814.000000,774.410000,808.000000,399206.000000
GMKN [TQBR],Daily,20030519,0,808.000000,820.990000,796.320000,802.290000,228235.000000
GMKN [TQBR],Daily,20030520,0,801.010000,805.000000,781.770000,783.610000,155189.000000
GMKN [TQBR],Daily,20030521,0,784.250000,804.000000,776.000000,785.000000,157095.000000
GMKN [TQBR],Daily,20030522,0,825.000000,825.000000,783.000000,786.000000,163740.000000
GMKN [TQBR],Daily,20030523,0,786.000000,797.000000,773.000000,779.900000,199840.000000
GMKN [TQBR],Daily,20030526,0,791.000000,819.000000,780.740000,813.000000,220127.000000
GMKN [TQBR],Daily,20030527,0,814.250000,816.000000,796.050000,799.000000,151906.000000
GMKN [TQBR],Daily,20030528,0,614.000000,820.000000,614.000000,813.480000,281372.000000
GMKN [TQBR],Daily,20030529,0,814.000000,814.000000,790.000000,797.000000,196779.000000
GMKN [TQBR],Daily,20030530,0,799.000000,858.200000,797.010000,853.580000,576041.000000
GMKN [TQBR],Daily,20030602,0,858.000000,862.000000,834.220000,847.730000,356321.000000
GMKN [TQBR],Daily,20030603,0,850.000000,896.600000,841.000000,892.140000,557759.000000
GMKN [TQBR],Daily,20030604,0,893.500000,907.900000,876.000000,889.310000,518400.000000
GMKN [TQBR],Daily,20030605,0,891.230000,911.000000,883.000000,891.360000,350364.000000
GMKN [TQBR],Daily,20030606,0,893.010000,927.000000,893.000000,924.000000,420826.000000
GMKN [TQBR],Daily,20030609,0,924.190000,968.890000,920.500000,941.200000,205505.000000
GMKN [TQBR],Daily,20030610,0,941.000000,952.000000,907.000000,910.320000,241053.000000
GMKN [TQBR],Daily,20030611,0,910.260000,948.400000,905.000000,946.800000,290502.000000
GMKN [TQBR],Daily,20030616,0,983.500000,1038.870000,983.500000,1021.000000,320984.000000
GMKN [TQBR],Daily,20030617,0,1022.000000,1077.000000,1014.530000,1067.090000,350784.000000
GMKN [TQBR],Daily,20030618,0,1070.000000,1098.980000,1052.000000,1095.090000,183917.000000
GMKN [TQBR],Daily,20030619,0,1098.880000,1105.000000,1045.010000,1052.870000,320090.000000
GMKN [TQBR],Daily,20030620,0,1028.010000,1082.440000,1028.010000,1058.990000,104733.000000
GMKN [TQBR],Daily,20030621,0,1059.000000,1065.940000,1040.000000,1054.390000,33535.000000
GMKN [TQBR],Daily,20030623,0,1060.000000,1074.890000,1023.000000,1026.650000,89008.000000
GMKN [TQBR],Daily,20030624,0,1022.750000,1048.000000,1011.000000,1031.000000,105472.000000
GMKN [TQBR],Daily,20030625,0,1037.000000,1056.000000,1032.900000,1039.800000,58549.000000
GMKN [TQBR],Daily,20030626,0,1043.000000,1068.600000,1016.000000,1035.100000,172435.000000
GMKN [TQBR],Daily,20030627,0,1037.500000,1048.100000,1011.200000,1030.830000,88780.000000
GMKN [TQBR],Daily,20030630,0,1033.300000,1056.000000,1025.000000,1050.600000,105085.000000
GMKN [TQBR],Daily,20030701,0,1050.500000,1065.000000,1037.010000,1055.000000,55796.000000
GMKN [TQBR],Daily,20030702,0,1064.000000,1089.490000,1057.000000,1085.790000,100944.000000
GMKN [TQBR],Daily,20030703,0,1080.000000,1080.000000,1051.120000,1058.030000,46129.000000
GMKN [TQBR],Daily,20030704,0,1051.000000,1065.000000,1041.000000,1048.520000,60162.000000
GMKN [TQBR],Daily,20030707,0,1026.780000,1074.000000,1026.780000,1051.910000,60150.000000
GMKN [TQBR],Daily,20030708,0,1050.500000,1059.000000,1000.000000,1012.000000,138759.000000
GMKN [TQBR],Daily,20030709,0,1011.070000,1017.500000,984.000000,993.830000,74927.000000
GMKN [TQBR],Daily,20030710,0,986.750000,995.890000,967.010000,978.000000,133413.000000
GMKN [TQBR],Daily,20030711,0,975.000000,990.000000,966.000000,976.170000,62459.000000
GMKN [TQBR],Daily,20030714,0,978.000000,993.170000,972.000000,993.170000,58265.000000
GMKN [TQBR],Daily,20030715,0,999.010000,1032.500000,999.000000,1016.000000,135973.000000
GMKN [TQBR],Daily,20030716,0,1018.000000,1023.340000,972.000000,973.300000,160286.000000
GMKN [TQBR],Daily,20030717,0,975.000000,984.490000,911.000000,915.000000,109971.000000
GMKN [TQBR],Daily,20030718,0,911.010000,952.000000,911.000000,940.000000,62643.000000
GMKN [TQBR],Daily,20030721,0,979.000000,981.990000,937.580000,979.530000,65171.000000
GMKN [TQBR],Daily,20030722,0,979.900000,1040.000000,976.030000,1029.570000,177573.000000
