<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH [TQBR],Daily,20021018,0,524.000000,525.000000,514.500000,518.000000,423397.000000
LKOH [TQBR],Daily,20021021,0,519.500000,525.980000,515.000000,525.900000,222512.000000
LKOH [TQBR],Daily,20021022,0,524.200000,527.000000,512.500000,513.030000,515989.000000
LKOH [TQBR],Daily,20021023,0,513.900000,516.000000,507.000000,510.350000,433662.000000
LKOH [TQBR],Daily,20021024,0,505.000000,507.000000,494.000000,494.720000,588908.000000
LKOH [TQBR],Daily,20021025,0,494.360000,499.500000,491.250000,496.870000,409365.000000
LKOH [TQBR],Daily,20021028,0,502.000000,515.000000,498.100000,509.920000,768702.000000
LKOH [TQBR],Daily,20021029,0,509.000000,512.500000,501.000000,502.000000,324820.000000
LKOH [TQBR],Daily,20021030,0,504.970000,515.600000,497.000000,515.000000,371091.000000
LKOH [TQBR],Daily,20021031,0,519.550000,524.600000,512.100000,519.400000,496912.000000
LKOH [TQBR],Daily,20021101,0,518.000000,523.990000,514.000000,520.680000,321432.000000
LKOH [TQBR],Daily,20021104,0,524.500000,532.000000,520.020000,525.580000,581631.000000
LKOH [TQBR],Daily,20021105,0,525.850000,527.000000,511.100000,513.020000,356915.000000
LKOH [TQBR],Daily,20021106,0,515.000000,515.000000,503.500000,510.570000,333575.000000
LKOH [TQBR],Daily,20021110,0,508.700000,513.990000,501.250000,509.750000,191628.000000
LKOH [TQBR],Daily,20021111,0,505.250000,529.500000,505.250000,529.500000,569406.000000
LKOH [TQBR],Daily,20021112,0,523.580000,540.990000,523.580000,536.800000,941455.000000
LKOH [TQBR],Daily,20021113,0,549.000000,549.000000,526.000000,529.260000,774166.000000
LKOH [TQBR],Daily,20021114,0,528.010000,536.000000,522.500000,532.150000,681066.000000
LKOH [TQBR],Daily,20021115,0,534.500000,537.370000,523.560000,526.210000,446432.000000
LKOH [TQBR],Daily,20021118,0,533.000000,545.000000,530.000000,531.010000,857221.000000
LKOH [TQBR],Daily,20021119,0,532.980000,533.500000,516.000000,525.980000,1958924.000000
LKOH [TQBR],Daily,20021120,0,527.000000,527.000000,515.500000,516.600000,2287049.000000
LKOH [TQBR],Daily,20021121,0,520.000000,541.700000,520.000000,541.000000,2958956.000000
LKOH [TQBR],Daily,20021122,0,542.000000,544.100000,527.500000,530.980000,3073895.000000
LKOH [TQBR],Daily,20021125,0,535.000000,543.020000,531.800000,541.440000,574888.000000
LKOH [TQBR],Daily,20021126,0,544.540000,545.700000,526.100000,528.250000,743915.000000
LKOH [TQBR],Daily,20021127,0,527.920000,537.500000,524.030000,536.800000,248668.000000
LKOH [TQBR],Daily,20021128,0,537.000000,538.000000,530.500000,536.230000,344786.000000
LKOH [TQBR],Daily,20021129,0,536.950000,537.500000,529.300000,530.470000,310440.000000
LKOH [TQBR],Daily,20021202,0,530.500000,532.650000,508.400000,511.080000,1110246.000000
LKOH [TQBR],Daily,20021203,0,502.000000,515.500000,500.000000,505.060000,1256315.000000
LKOH [TQBR],Daily,20021204,0,506.860000,513.970000,501.500000,503.320000,601542.000000
LKOH [TQBR],Daily,20021205,0,505.000000,511.500000,503.300000,508.000000,434156.000000
LKOH [TQBR],Daily,20021206,0,512.750000,512.750000,505.010000,507.960000,283681.000000
LKOH [TQBR],Daily,20021209,0,509.000000,510.000000,498.100000,505.000000,496459.000000
LKOH [TQBR],Daily,20021210,0,502.500000,505.700000,501.500000,504.380000,201498.000000
LKOH [TQBR],Daily,20021212,0,503.400000,504.400000,495.000000,498.290000,425279.000000
LKOH [TQBR],Daily,20021215,0,492.200000,494.000000,484.000000,490.190000,134163.000000
LKOH [TQBR],Daily,20021216,0,491.990000,491.990000,481.070000,484.710000,487873.000000
LKOH [TQBR],Daily,20021217,0,480.750000,498.300000,480.750000,496.350000,527012.000000
LKOH [TQBR],Daily,20021218,0,496.500000,498.800000,485.600000,485.990000,408252.000000
LKOH [TQBR],Daily,20021219,0,486.700000,492.990000,486.400000,488.480000,248217.000000
LKOH [TQBR],Daily,20021220,0,488.500000,494.000000,486.000000,489.870000,263898.000000
LKOH [TQBR],Daily,20021223,0,494.980000,494.980000,487.800000,489.670000,172140.000000
LKOH [TQBR],Daily,20021224,0,491.490000,491.790000,485.000000,485.550000,187810.000000
