<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER [TQBR],Daily,20020926,0,4.925000,5.079000,4.925000,5.058990,1563500.000000
SBER [TQBR],Daily,20020927,0,5.059000,5.100000,5.015000,5.078000,1054600.000000
SBER [TQBR],Daily,20020930,0,4.990100,5.045000,4.960000,4.969110,896600.000000
SBER [TQBR],Daily,20021001,0,4.952000,5.161000,4.950000,5.140010,1356300.000000
SBER [TQBR],Daily,20021002,0,5.170500,5.294990,5.132050,5.250000,1239000.000000
SBER [TQBR],Daily,20021003,0,5.205000,5.550000,5.182000,5.503510,2737100.000000
SBER [TQBR],Daily,20021004,0,5.420000,5.690000,5.420000,5.673690,1606900.000000
SBER [TQBR],Daily,20021007,0,5.581000,5.699000,5.541000,5.616210,963800.000000
SBER [TQBR],Daily,20021008,0,5.715000,5.715000,5.560000,5.610000,657600.000000
SBER [TQBR],Daily,20021009,0,5.612000,5.700000,5.460050,5.500410,1066900.000000
SBER [TQBR],Daily,20021010,0,5.415000,5.535000,5.355000,5.431190,851400.000000
SBER [TQBR],Daily,20021011,0,5.460500,5.510000,5.420000,5.472600,605400.000000
SBER [TQBR],Daily,20021014,0,5.481000,5.500000,5.435000,5.441990,262200.000000
SBER [TQBR],Daily,20021015,0,5.430000,5.600000,5.407030,5.590000,747100.000000
SBER [TQBR],Daily,20021016,0,5.567500,5.670000,5.540000,5.600000,1033200.000000
SBER [TQBR],Daily,20021017,0,5.595000,5.705000,5.590000,5.657580,974700.000000
SBER [TQBR],Daily,20021018,0,5.698000,5.711000,5.632000,5.655000,551200.000000
SBER [TQBR],Daily,20021021,0,5.640000,5.850000,5.602000,5.765000,1704400.000000
SBER [TQBR],Daily,20021022,0,5.775000,5.878000,5.671000,5.690790,2034900.000000
SBER [TQBR],Daily,20021023,0,5.705000,5.730000,5.650000,5.716000,884100.000000
SBER [TQBR],Daily,20021024,0,5.682000,5.687000,5.581000,5.612000,1199500.000000
SBER [TQBR],Daily,20021025,0,5.601010,5.672000,5.601010,5.672000,413600.000000
SBER [TQBR],Daily,20021028,0,5.698990,5.775000,5.630000,5.726000,774300.000000
SBER [TQBR],Daily,20021029,0,5.739500,5.739500,5.575000,5.588270,796000.000000
SBER [TQBR],Daily,20021030,0,5.620000,5.760000,5.600000,5.760000,1093700.000000
SBER [TQBR],Daily,20021031,0,5.780000,5.980000,5.727000,5.925820,3006300.000000
SBER [TQBR],Daily,20021101,0,5.900000,6.098000,5.871000,6.088000,1547600.000000
