<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBERP [TQBR],Daily,20021002,0,2.890000,2.910000,2.847000,2.850000,194.000000
SBERP [TQBR],Daily,20021003,0,2.864500,3.050000,2.864500,3.007500,621.000000
SBERP [TQBR],Daily,20021004,0,2.960000,3.084500,2.960000,3.049500,233.000000
SBERP [TQBR],Daily,20021007,0,2.977500,3.061500,2.977500,3.061500,153.000000
SBERP [TQBR],Daily,20021008,0,3.000000,3.049000,3.000000,3.016500,139.000000
SBERP [TQBR],Daily,20021009,0,3.000000,3.045000,3.000000,3.000500,172.000000
SBERP [TQBR],Daily,20021010,0,3.000000,3.011500,2.937000,2.978500,72.000000
SBERP [TQBR],Daily,20021011,0,2.977500,3.019500,2.975000,2.992000,43.000000
SBERP [TQBR],Daily,20021014,0,2.980500,3.000000,2.949000,2.951000,74.000000
SBERP [TQBR],Daily,20021015,0,2.915000,3.045000,2.901000,3.045000,94.000000
SBERP [TQBR],Daily,20021016,0,3.000500,3.091500,3.000000,3.090000,232.000000
SBERP [TQBR],Daily,20021017,0,3.090000,3.162500,3.050000,3.146500,389.000000
SBERP [TQBR],Daily,20021018,0,3.160500,3.187500,3.110000,3.159500,123.000000
SBERP [TQBR],Daily,20021021,0,3.130000,3.272500,3.005500,3.211000,315.000000
SBERP [TQBR],Daily,20021022,0,3.249500,3.269500,3.175500,3.244500,172.000000
SBERP [TQBR],Daily,20021023,0,3.187500,3.250000,3.187500,3.226000,107.000000
SBERP [TQBR],Daily,20021024,0,3.192000,3.217500,3.175000,3.200000,158.000000
SBERP [TQBR],Daily,20021025,0,3.200000,3.220000,3.187500,3.219500,70.000000
SBERP [TQBR],Daily,20021028,0,3.249500,3.251000,3.150000,3.244000,155.000000
SBERP [TQBR],Daily,20021029,0,3.210000,3.233500,3.181000,3.199500,111.000000
SBERP [TQBR],Daily,20021030,0,3.200000,3.245000,3.160500,3.230500,89.000000
SBERP [TQBR],Daily,20021031,0,3.249500,3.420000,3.249500,3.375000,681.000000
SBERP [TQBR],Daily,20021101,0,3.380000,3.450000,3.352000,3.407500,182.000000
SBERP [TQBR],Daily,20021104,0,3.435000,3.495000,3.375000,3.450000,138.000000
SBERP [TQBR],Daily,20021105,0,3.470000,3.470000,3.385000,3.389500,104.000000
SBERP [TQBR],Daily,20021106,0,3.355500,3.425000,3.355500,3.392500,109.000000
SBERP [TQBR],Daily,20021110,0,3.371500,3.400000,3.275500,3.335000,300.000000
SBERP [TQBR],Daily,20021111,0,3.370000,3.452500,3.301000,3.450000,285.000000
SBERP [TQBR],Daily,20021112,0,3.450000,3.475000,3.405000,3.436500,147.000000
SBERP [TQBR],Daily,20021113,0,3.450000,3.450000,3.390000,3.414000,143.000000
SBERP [TQBR],Daily,20021114,0,3.377500,3.420000,3.350000,3.394500,128.000000
SBERP [TQBR],Daily,20021115,0,3.400000,3.450000,3.395000,3.400000,308.000000
SBERP [TQBR],Daily,20021118,0,3.400000,3.449500,3.381000,3.400000,124.000000
SBERP [TQBR],Daily,20021119,0,3.400000,3.415000,3.365000,3.375000,84.000000
SBERP [TQBR],Daily,20021120,0,3.365000,3.432500,3.355500,3.432500,134.000000
SBERP [TQBR],Daily,20021121,0,3.442500,3.473000,3.435000,3.455000,175.000000
SBERP [TQBR],Daily,20021122,0,3.450000,3.469500,3.430500,3.438000,65.000000
SBERP [TQBR],Daily,20021125,0,3.412500,3.482500,3.412500,3.475000,84.000000
SBERP [TQBR],Daily,20021126,0,3.460000,3.472500,3.437500,3.437500,125.000000
SBERP [TQBR],Daily,20021127,0,3.407500,3.460000,3.402500,3.435500,100.000000
SBERP [TQBR],Daily,20021128,0,3.455000,3.472000,3.440000,3.472000,91.000000
SBERP [TQBR],Daily,20021129,0,3.450000,3.530000,3.450000,3.502000,235.000000
SBERP [TQBR],Daily,20021202,0,3.500000,3.599500,3.491000,3.505000,328.000000
SBERP [TQBR],Daily,20021203,0,3.500000,3.512500,3.430000,3.437500,377.000000
SBERP [TQBR],Daily,20021204,0,3.400500,3.474000,3.375500,3.422500,268.000000
SBERP [TQBR],Daily,20021205,0,3.440000,3.450000,3.384000,3.435000,155.000000
SBERP [TQBR],Daily,20021206,0,3.450000,3.484500,3.445000,3.484000,182.000000
SBERP [TQBR],Daily,20021209,0,3.453000,3.650000,3.452500,3.612500,857.000000
SBERP [TQBR],Daily,20021210,0,3.575500,3.625000,3.505000,3.505000,420.000000
SBERP [TQBR],Daily,20021212,0,3.505500,3.532500,3.410000,3.475000,290.000000
SBERP [TQBR],Daily,20021215,0,3.450000,3.472500,3.400000,3.458000,63.000000
SBERP [TQBR],Daily,20021216,0,3.484500,3.485000,3.384500,3.395500,206.000000
SBERP [TQBR],Daily,20021217,0,3.425000,3.429500,3.356000,3.395000,39.000000
SBERP [TQBR],Daily,20021218,0,3.395500,3.395500,3.341000,3.355000,87.000000
