<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN [TQBR],Daily,20060719,0,220.320000,220.320000,203.030000,203.950000,51774.000000
ROSN [TQBR],Daily,20060720,0,204.950000,205.100000,203.150000,203.260000,114129.000000
ROSN [TQBR],Daily,20060721,0,204.300000,204.600000,200.000000,202.000000,186411.000000
ROSN [TQBR],Daily,20060724,0,203.670000,203.670000,199.250000,201.990000,79415.000000
ROSN [TQBR],Daily,20060725,0,203.000000,203.750000,201.270000,202.690000,167483.000000
ROSN [TQBR],Daily,20060726,0,203.000000,203.250000,202.010000,203.100000,100920.000000
ROSN [TQBR],Daily,20060727,0,203.100000,203.750000,202.500000,203.500000,219874.000000
ROSN [TQBR],Daily,20060728,0,203.010000,203.500000,202.600000,202.800000,52331.000000
ROSN [TQBR],Daily,20060731,0,204.000000,204.000000,202.550000,202.600000,17511.000000
ROSN [TQBR],Daily,20060801,0,202.500000,203.000000,202.110000,202.750000,38414.000000
ROSN [TQBR],Daily,20060802,0,204.050000,204.050000,201.500000,201.990000,17607.000000
ROSN [TQBR],Daily,20060803,0,201.950000,202.400000,200.100000,200.750000,188910.000000
ROSN [TQBR],Daily,20060804,0,200.730000,201.500000,200.500000,200.990000,137771.000000
ROSN [TQBR],Daily,20060807,0,200.930000,201.500000,199.700000,200.300000,118155.000000
ROSN [TQBR],Daily,20060808,0,200.800000,200.990000,195.900000,196.850000,197545.000000
ROSN [TQBR],Daily,20060809,0,196.780000,198.500000,196.000000,198.240000,98335.000000
ROSN [TQBR],Daily,20060810,0,198.000000,200.000000,195.960000,200.000000,182273.000000
ROSN [TQBR],Daily,20060811,0,201.500000,202.300000,199.120000,201.220000,137521.000000
ROSN [TQBR],Daily,20060814,0,200.200000,202.000000,197.770000,198.180000,143394.000000
ROSN [TQBR],Daily,20060815,0,199.350000,199.700000,197.000000,199.510000,109557.000000
ROSN [TQBR],Daily,20060816,0,198.750000,201.900000,198.120000,201.000000,100445.000000
ROSN [TQBR],Daily,20060817,0,201.000000,201.340000,199.300000,199.890000,55515.000000
ROSN [TQBR],Daily,20060818,0,199.900000,199.900000,198.500000,199.400000,113381.000000
ROSN [TQBR],Daily,20060821,0,199.870000,199.870000,197.980000,198.000000,54046.000000
ROSN [TQBR],Daily,20060822,0,203.050000,203.050000,198.000000,199.900000,85394.000000
ROSN [TQBR],Daily,20060823,0,199.310000,199.900000,198.850000,199.750000,29469.000000
ROSN [TQBR],Daily,20060824,0,199.000000,200.000000,198.300000,200.000000,77984.000000
ROSN [TQBR],Daily,20060825,0,200.340000,202.870000,199.010000,202.290000,87705.000000
ROSN [TQBR],Daily,20060828,0,202.200000,202.200000,201.300000,201.300000,53133.000000
ROSN [TQBR],Daily,20060829,0,201.290000,202.200000,200.800000,200.800000,96737.000000
ROSN [TQBR],Daily,20060830,0,200.800000,201.390000,199.000000,199.500000,52633.000000
ROSN [TQBR],Daily,20060831,0,199.800000,201.690000,197.500000,197.630000,87690.000000
ROSN [TQBR],Daily,20060901,0,194.000000,200.400000,194.000000,200.300000,50476.000000
ROSN [TQBR],Daily,20060904,0,200.950000,202.000000,199.000000,199.510000,10597.000000
ROSN [TQBR],Daily,20060905,0,199.800000,201.900000,198.800000,201.900000,83977.000000
ROSN [TQBR],Daily,20060906,0,201.300000,201.900000,200.330000,201.150000,50249.000000
ROSN [TQBR],Daily,20060907,0,200.300000,201.000000,199.800000,200.800000,124590.000000
ROSN [TQBR],Daily,20060908,0,200.300000,202.400000,200.300000,201.350000,67557.000000
ROSN [TQBR],Daily,20060911,0,201.260000,201.890000,199.800000,199.800000,145901.000000
ROSN [TQBR],Daily,20060912,0,200.500000,200.900000,199.800000,200.500000,37888.000000
ROSN [TQBR],Daily,20060913,0,200.300000,201.400000,199.300000,201.000000,48824.000000
ROSN [TQBR],Daily,20060914,0,195.630000,201.350000,195.630000,201.000000,231843.000000
ROSN [TQBR],Daily,20060915,0,200.310000,205.000000,200.210000,204.200000,118382.000000
ROSN [TQBR],Daily,20060918,0,203.480000,205.800000,203.000000,205.000000,88878.000000
ROSN [TQBR],Daily,20060919,0,205.000000,207.700000,204.300000,207.200000,120617.000000
ROSN [TQBR],Daily,20060920,0,206.530000,217.000000,205.500000,215.000000,426919.000000
ROSN [TQBR],Daily,20060921,0,214.000000,215.880000,206.010000,209.960000,154726.000000
ROSN [TQBR],Daily,20060922,0,208.090000,210.000000,204.300000,205.800000,225579.000000
ROSN [TQBR],Daily,20060925,0,205.400000,205.400000,200.250000,202.030000,187634.000000
ROSN [TQBR],Daily,20060926,0,202.950000,205.120000,202.000000,205.120000,178240.000000
ROSN [TQBR],Daily,20060927,0,206.130000,210.540000,205.000000,207.280000,107937.000000
ROSN [TQBR],Daily,20060928,0,210.000000,214.800000,208.400000,214.550000,247470.000000
ROSN [TQBR],Daily,20060929,0,212.300000,215.950000,210.010000,211.540000,140549.000000
ROSN [TQBR],Daily,20061002,0,217.420000,217.420000,207.000000,211.350000,39201.000000
ROSN [TQBR],Daily,20061003,0,210.960000,212.000000,208.000000,208.000000,69962.000000
ROSN [TQBR],Daily,20061004,0,207.130000,210.000000,206.340000,209.390000,42152.000000
ROSN [TQBR],Daily,20061005,0,211.130000,213.400000,209.600000,212.130000,71099.000000
ROSN [TQBR],Daily,20061006,0,212.200000,213.250000,210.250000,212.990000,50969.000000
ROSN [TQBR],Daily,20061009,0,212.750000,213.700000,211.120000,213.200000,42760.000000
ROSN [TQBR],Daily,20061010,0,213.200000,214.100000,207.010000,213.900000,48480.000000
ROSN [TQBR],Daily,20061011,0,212.260000,213.500000,211.250000,212.500000,26584.000000
ROSN [TQBR],Daily,20061012,0,206.570000,213.250000,206.570000,211.920000,24535.000000
ROSN [TQBR],Daily,20061013,0,211.600000,214.000000,211.300000,214.000000,40718.000000
ROSN [TQBR],Daily,20061016,0,213.710000,214.500000,212.000000,213.000000,46555.000000
ROSN [TQBR],Daily,20061017,0,214.630000,219.200000,213.000000,218.560000,404312.000000
ROSN [TQBR],Daily,20061018,0,218.000000,225.800000,217.500000,225.590000,354629.000000
ROSN [TQBR],Daily,20061019,0,224.610000,226.600000,222.000000,226.300000,95569.000000
ROSN [TQBR],Daily,20061020,0,227.000000,228.200000,223.510000,224.870000,121052.000000
ROSN [TQBR],Daily,20061023,0,224.080000,226.890000,221.000000,223.790000,75404.000000
ROSN [TQBR],Daily,20061024,0,224.270000,224.390000,221.510000,222.870000,27912.000000
ROSN [TQBR],Daily,20061025,0,228.840000,229.490000,222.500000,229.390000,176567.000000
ROSN [TQBR],Daily,20061026,0,230.000000,233.200000,227.250000,230.300000,310387.000000
ROSN [TQBR],Daily,20061027,0,230.650000,234.250000,228.990000,234.240000,114255.000000
ROSN [TQBR],Daily,20061030,0,233.900000,233.990000,225.250000,225.750000,106092.000000
ROSN [TQBR],Daily,20061031,0,225.530000,230.970000,225.250000,229.390000,130038.000000
ROSN [TQBR],Daily,20061101,0,230.750000,232.500000,229.500000,231.200000,139989.000000
ROSN [TQBR],Daily,20061102,0,231.000000,232.400000,228.310000,229.000000,80771.000000
ROSN [TQBR],Daily,20061103,0,230.580000,231.980000,228.800000,231.070000,64075.000000
ROSN [TQBR],Daily,20061108,0,231.400000,232.800000,229.510000,231.990000,75485.000000
ROSN [TQBR],Daily,20061109,0,232.100000,240.600000,231.310000,238.090000,307411.000000
ROSN [TQBR],Daily,20061110,0,238.000000,250.900000,237.510000,250.140000,602674.000000
ROSN [TQBR],Daily,20061113,0,249.950000,264.950000,247.260000,248.560000,2100486.000000
ROSN [TQBR],Daily,20061114,0,249.950000,253.800000,244.500000,248.590000,700110.000000
ROSN [TQBR],Daily,20061115,0,245.000000,248.000000,239.250000,246.420000,624760.000000
ROSN [TQBR],Daily,20061116,0,247.200000,247.890000,242.820000,243.510000,297206.000000
ROSN [TQBR],Daily,20061117,0,242.130000,243.200000,238.600000,242.450000,391639.000000
ROSN [TQBR],Daily,20061120,0,242.450000,242.500000,239.400000,241.390000,105347.000000
ROSN [TQBR],Daily,20061121,0,242.000000,245.700000,240.550000,244.530000,141634.000000
ROSN [TQBR],Daily,20061122,0,246.420000,246.890000,239.260000,239.920000,294013.000000
ROSN [TQBR],Daily,20061123,0,240.110000,242.750000,240.000000,241.880000,85691.000000
ROSN [TQBR],Daily,20061124,0,241.000000,242.110000,240.100000,241.630000,55021.000000
ROSN [TQBR],Daily,20061127,0,243.400000,244.100000,240.500000,241.540000,106267.000000
ROSN [TQBR],Daily,20061128,0,243.630000,243.630000,239.500000,240.200000,116158.000000
ROSN [TQBR],Daily,20061129,0,241.470000,243.000000,241.000000,242.900000,216015.000000
ROSN [TQBR],Daily,20061130,0,243.280000,244.800000,238.500000,240.260000,306799.000000
ROSN [TQBR],Daily,20061201,0,240.990000,241.200000,237.430000,238.970000,198792.000000
ROSN [TQBR],Daily,20061204,0,238.900000,240.000000,238.000000,238.580000,86561.000000
ROSN [TQBR],Daily,20061205,0,239.620000,244.800000,238.000000,242.000000,436015.000000
ROSN [TQBR],Daily,20061206,0,244.550000,248.230000,241.250000,247.910000,386304.000000
ROSN [TQBR],Daily,20061207,0,248.280000,252.160000,246.200000,247.070000,403245.000000
ROSN [TQBR],Daily,20061208,0,246.150000,249.400000,245.250000,248.520000,135956.000000
ROSN [TQBR],Daily,20061211,0,248.190000,249.100000,245.520000,246.350000,162335.000000
ROSN [TQBR],Daily,20061212,0,247.000000,249.990000,244.310000,245.400000,142596.000000
ROSN [TQBR],Daily,20061213,0,245.100000,245.830000,238.250000,242.840000,292793.000000
ROSN [TQBR],Daily,20061214,0,243.010000,246.030000,241.050000,245.470000,134485.000000
ROSN [TQBR],Daily,20061215,0,246.450000,249.250000,246.000000,249.010000,192850.000000
ROSN [TQBR],Daily,20061218,0,249.080000,249.800000,245.250000,246.000000,113897.000000
ROSN [TQBR],Daily,20061219,0,245.130000,245.280000,240.000000,240.610000,130574.000000
ROSN [TQBR],Daily,20061220,0,241.870000,245.600000,241.310000,242.400000,125595.000000
ROSN [TQBR],Daily,20061221,0,242.700000,243.000000,240.000000,242.280000,143645.000000
ROSN [TQBR],Daily,20061222,0,242.240000,243.940000,240.250000,243.100000,70102.000000
ROSN [TQBR],Daily,20061225,0,243.410000,243.410000,240.210000,241.040000,111596.000000
ROSN [TQBR],Daily,20061226,0,242.000000,243.500000,240.050000,241.990000,67211.000000
ROSN [TQBR],Daily,20061227,0,241.500000,243.750000,240.450000,243.510000,216304.000000
ROSN [TQBR],Daily,20061228,0,246.750000,246.750000,241.500000,243.390000,220392.000000
ROSN [TQBR],Daily,20061229,0,242.960000,244.910000,242.960000,243.880000,565574.000000
ROSN [TQBR],Daily,20070109,0,237.870000,237.870000,226.250000,227.050000,389546.000000
ROSN [TQBR],Daily,20070110,0,226.080000,229.000000,224.010000,226.320000,270378.000000
ROSN [TQBR],Daily,20070111,0,226.210000,230.000000,224.730000,227.900000,233791.000000
ROSN [TQBR],Daily,20070112,0,225.150000,226.500000,224.000000,225.990000,220090.000000
ROSN [TQBR],Daily,20070115,0,227.260000,240.620000,227.100000,239.850000,544073.000000
ROSN [TQBR],Daily,20070116,0,240.460000,243.200000,234.200000,235.340000,474599.000000
ROSN [TQBR],Daily,20070117,0,233.950000,235.230000,230.250000,232.300000,375931.000000
ROSN [TQBR],Daily,20070118,0,234.380000,237.940000,233.500000,234.500000,251202.000000
ROSN [TQBR],Daily,20070119,0,232.710000,239.110000,232.710000,237.880000,217771.000000
ROSN [TQBR],Daily,20070122,0,239.950000,242.500000,236.250000,239.120000,344514.000000
ROSN [TQBR],Daily,20070123,0,237.510000,239.950000,234.100000,236.140000,290695.000000
ROSN [TQBR],Daily,20070124,0,237.530000,241.750000,236.910000,237.670000,354892.000000
ROSN [TQBR],Daily,20070125,0,239.910000,241.100000,238.500000,239.510000,200627.000000
ROSN [TQBR],Daily,20070126,0,236.950000,239.300000,236.950000,237.910000,94551.000000
ROSN [TQBR],Daily,20070129,0,240.000000,240.250000,235.250000,235.660000,103254.000000
ROSN [TQBR],Daily,20070130,0,235.180000,236.250000,232.310000,236.240000,129983.000000
ROSN [TQBR],Daily,20070131,0,237.430000,239.250000,233.300000,234.700000,203383.000000
ROSN [TQBR],Daily,20070201,0,237.560000,240.000000,235.450000,238.720000,235517.000000
ROSN [TQBR],Daily,20070202,0,238.900000,242.230000,237.500000,239.270000,249925.000000
ROSN [TQBR],Daily,20070205,0,241.770000,241.770000,238.250000,239.060000,187365.000000
ROSN [TQBR],Daily,20070206,0,238.950000,241.520000,237.640000,239.800000,263452.000000
ROSN [TQBR],Daily,20070207,0,240.050000,240.990000,238.050000,238.970000,83462.000000
ROSN [TQBR],Daily,20070208,0,237.120000,237.900000,232.500000,233.040000,201255.000000
ROSN [TQBR],Daily,20070209,0,236.200000,236.250000,230.000000,233.090000,175009.000000
ROSN [TQBR],Daily,20070212,0,232.500000,232.970000,226.000000,227.280000,225209.000000
ROSN [TQBR],Daily,20070213,0,226.000000,229.930000,224.320000,228.830000,213025.000000
ROSN [TQBR],Daily,20070214,0,230.380000,231.000000,228.110000,229.290000,70279.000000
ROSN [TQBR],Daily,20070215,0,228.700000,230.020000,226.210000,226.500000,104678.000000
ROSN [TQBR],Daily,20070216,0,226.870000,227.230000,225.010000,226.350000,132137.000000
ROSN [TQBR],Daily,20070219,0,227.150000,229.250000,226.250000,226.440000,120415.000000
ROSN [TQBR],Daily,20070220,0,226.440000,226.890000,225.200000,226.280000,80441.000000
ROSN [TQBR],Daily,20070221,0,227.000000,234.250000,226.510000,232.000000,473685.000000
ROSN [TQBR],Daily,20070222,0,233.260000,237.900000,233.230000,236.160000,404017.000000
ROSN [TQBR],Daily,20070226,0,237.240000,239.700000,233.820000,234.860000,285461.000000
ROSN [TQBR],Daily,20070227,0,233.500000,233.890000,226.110000,227.810000,362341.000000
ROSN [TQBR],Daily,20070228,0,223.000000,224.740000,216.000000,221.500000,526674.000000
ROSN [TQBR],Daily,20070301,0,219.900000,224.900000,206.000000,211.870000,650582.000000
ROSN [TQBR],Daily,20070302,0,212.500000,214.490000,208.200000,211.550000,553811.000000
ROSN [TQBR],Daily,20070305,0,206.950000,208.300000,198.500000,202.100000,469077.000000
ROSN [TQBR],Daily,20070306,0,203.000000,205.500000,203.000000,204.030000,347702.000000
ROSN [TQBR],Daily,20070307,0,206.380000,215.750000,204.500000,213.050000,460839.000000
ROSN [TQBR],Daily,20070309,0,216.360000,219.000000,214.620000,217.240000,398949.000000
ROSN [TQBR],Daily,20070312,0,216.960000,219.470000,212.300000,213.250000,283610.000000
ROSN [TQBR],Daily,20070313,0,220.250000,220.250000,212.250000,213.700000,248885.000000
ROSN [TQBR],Daily,20070314,0,205.000000,206.990000,200.000000,205.450000,501257.000000
ROSN [TQBR],Daily,20070315,0,208.150000,210.000000,206.100000,207.520000,212442.000000
ROSN [TQBR],Daily,20070316,0,208.000000,213.000000,205.250000,209.950000,326979.000000
ROSN [TQBR],Daily,20070319,0,212.450000,216.250000,210.780000,215.900000,275144.000000
ROSN [TQBR],Daily,20070320,0,216.250000,219.010000,212.580000,213.390000,666285.000000
ROSN [TQBR],Daily,20070321,0,214.890000,218.000000,214.530000,215.910000,408558.000000
ROSN [TQBR],Daily,20070322,0,218.280000,219.250000,214.860000,215.660000,697234.000000
ROSN [TQBR],Daily,20070323,0,217.000000,219.000000,214.250000,218.170000,954878.000000
ROSN [TQBR],Daily,20070326,0,219.280000,222.250000,218.600000,219.620000,1053037.000000
ROSN [TQBR],Daily,20070327,0,219.100000,221.970000,215.140000,216.770000,810425.000000
ROSN [TQBR],Daily,20070328,0,216.450000,218.500000,216.000000,216.520000,541342.000000
ROSN [TQBR],Daily,20070329,0,216.480000,217.470000,215.700000,217.160000,355183.000000
ROSN [TQBR],Daily,20070330,0,219.360000,219.360000,215.250000,215.920000,557356.000000
ROSN [TQBR],Daily,20070402,0,216.000000,217.520000,214.300000,217.250000,236450.000000
ROSN [TQBR],Daily,20070403,0,218.000000,219.250000,215.810000,217.140000,574364.000000
ROSN [TQBR],Daily,20070404,0,218.100000,218.500000,216.260000,216.750000,289632.000000
ROSN [TQBR],Daily,20070405,0,217.000000,217.780000,215.500000,215.960000,175480.000000
ROSN [TQBR],Daily,20070406,0,216.000000,216.250000,214.800000,215.450000,153989.000000
ROSN [TQBR],Daily,20070409,0,215.480000,216.300000,214.810000,215.460000,315434.000000
ROSN [TQBR],Daily,20070410,0,214.600000,214.600000,210.880000,213.810000,611274.000000
ROSN [TQBR],Daily,20070411,0,214.330000,215.500000,214.000000,214.240000,385388.000000
ROSN [TQBR],Daily,20070412,0,213.150000,220.990000,212.520000,217.960000,1148133.000000
ROSN [TQBR],Daily,20070413,0,221.570000,230.500000,219.000000,229.280000,4027959.000000
ROSN [TQBR],Daily,20070416,0,232.950000,235.990000,229.300000,234.730000,3849709.000000
ROSN [TQBR],Daily,20070417,0,234.570000,235.000000,227.020000,229.740000,2400791.000000
ROSN [TQBR],Daily,20070418,0,229.000000,229.600000,225.100000,227.300000,824937.000000
ROSN [TQBR],Daily,20070419,0,225.000000,225.000000,219.150000,220.000000,1054602.000000
ROSN [TQBR],Daily,20070420,0,222.400000,226.450000,222.200000,223.970000,516750.000000
ROSN [TQBR],Daily,20070423,0,225.280000,225.980000,222.000000,224.040000,410424.000000
ROSN [TQBR],Daily,20070424,0,225.000000,232.200000,224.800000,228.700000,1767534.000000
ROSN [TQBR],Daily,20070425,0,226.130000,234.450000,226.130000,233.070000,1550373.000000
ROSN [TQBR],Daily,20070426,0,235.280000,238.500000,229.560000,230.820000,1893766.000000
ROSN [TQBR],Daily,20070427,0,230.110000,233.890000,218.110000,219.720000,1701834.000000
ROSN [TQBR],Daily,20070428,0,222.000000,223.900000,221.100000,223.130000,417189.000000
ROSN [TQBR],Daily,20070502,0,222.000000,223.390000,219.300000,220.280000,391537.000000
ROSN [TQBR],Daily,20070503,0,221.330000,226.250000,220.600000,223.890000,859107.000000
ROSN [TQBR],Daily,20070504,0,224.300000,224.470000,221.400000,221.970000,441158.000000
ROSN [TQBR],Daily,20070507,0,222.000000,222.000000,219.400000,219.910000,238112.000000
ROSN [TQBR],Daily,20070508,0,221.000000,222.370000,217.210000,217.530000,536031.000000
ROSN [TQBR],Daily,20070510,0,217.000000,223.780000,214.000000,215.240000,1474040.000000
ROSN [TQBR],Daily,20070511,0,211.700000,214.000000,208.600000,209.110000,945537.000000
ROSN [TQBR],Daily,20070514,0,213.000000,213.900000,208.510000,209.500000,563056.000000
ROSN [TQBR],Daily,20070515,0,208.190000,209.780000,204.720000,205.980000,850669.000000
ROSN [TQBR],Daily,20070516,0,207.080000,212.010000,201.050000,210.520000,2110524.000000
ROSN [TQBR],Daily,20070517,0,212.330000,212.330000,206.600000,207.180000,894743.000000
ROSN [TQBR],Daily,20070518,0,209.000000,210.770000,207.500000,209.670000,549225.000000
ROSN [TQBR],Daily,20070521,0,210.630000,213.200000,208.300000,210.700000,528873.000000
ROSN [TQBR],Daily,20070522,0,212.000000,213.590000,208.750000,211.160000,783080.000000
ROSN [TQBR],Daily,20070523,0,211.000000,211.840000,207.270000,207.720000,593561.000000
ROSN [TQBR],Daily,20070524,0,207.130000,208.000000,201.500000,207.410000,874784.000000
ROSN [TQBR],Daily,20070525,0,205.070000,208.660000,204.400000,208.000000,525574.000000
ROSN [TQBR],Daily,20070528,0,209.000000,209.250000,203.010000,204.350000,409121.000000
ROSN [TQBR],Daily,20070529,0,204.040000,205.830000,199.550000,200.350000,539554.000000
ROSN [TQBR],Daily,20070530,0,198.000000,200.940000,196.150000,199.560000,733262.000000
ROSN [TQBR],Daily,20070531,0,202.000000,207.190000,201.570000,205.830000,762566.000000
ROSN [TQBR],Daily,20070601,0,207.070000,212.770000,204.220000,211.840000,717468.000000
ROSN [TQBR],Daily,20070604,0,209.130000,210.940000,207.690000,208.160000,432168.000000
ROSN [TQBR],Daily,20070605,0,208.980000,210.700000,207.260000,207.610000,394989.000000
ROSN [TQBR],Daily,20070606,0,208.730000,209.290000,204.800000,205.650000,257893.000000
