<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI [RTSIDX],Daily,20021106,0,349.790000,349.790000,347.410000,347.920000,13311765.000000
RTSI [RTSIDX],Daily,20021110,0,346.860000,346.920000,345.390000,346.720000,6317055.000000
RTSI [RTSIDX],Daily,20021111,0,345.840000,346.520000,343.390000,346.520000,15981173.000000
RTSI [RTSIDX],Daily,20021112,0,349.680000,353.750000,349.460000,353.380000,19521289.000000
RTSI [RTSIDX],Daily,20021113,0,355.140000,355.140000,351.770000,352.690000,18154966.000000
RTSI [RTSIDX],Daily,20021114,0,351.670000,351.670000,347.960000,348.850000,22099847.000000
RTSI [RTSIDX],Daily,20021115,0,349.790000,352.420000,349.790000,350.280000,9762358.000000
RTSI [RTSIDX],Daily,20021118,0,352.250000,353.630000,351.850000,353.400000,19496260.000000
RTSI [RTSIDX],Daily,20021119,0,348.850000,351.660000,347.320000,351.270000,12179068.000000
RTSI [RTSIDX],Daily,20021120,0,351.610000,353.160000,350.890000,351.410000,9537924.000000
RTSI [RTSIDX],Daily,20021121,0,352.390000,356.670000,352.390000,356.670000,10964881.000000
RTSI [RTSIDX],Daily,20021122,0,357.510000,357.510000,353.230000,353.240000,13785116.000000
RTSI [RTSIDX],Daily,20021125,0,355.750000,359.290000,355.750000,357.210000,10766626.000000
RTSI [RTSIDX],Daily,20021126,0,359.990000,360.270000,355.620000,355.620000,13554586.000000
RTSI [RTSIDX],Daily,20021127,0,353.640000,356.490000,353.640000,356.200000,8706197.000000
RTSI [RTSIDX],Daily,20021128,0,357.160000,358.480000,356.630000,358.480000,11790848.000000
RTSI [RTSIDX],Daily,20021129,0,359.210000,361.150000,359.040000,361.150000,5101761.000000
RTSI [RTSIDX],Daily,20021202,0,363.130000,363.530000,360.790000,361.010000,13108453.000000
RTSI [RTSIDX],Daily,20021203,0,357.030000,357.030000,352.240000,352.240000,19842847.000000
RTSI [RTSIDX],Daily,20021204,0,352.400000,352.400000,345.920000,346.140000,16044716.000000
RTSI [RTSIDX],Daily,20021205,0,346.600000,348.080000,346.600000,347.850000,6161483.000000
RTSI [RTSIDX],Daily,20021206,0,349.840000,350.510000,349.460000,349.520000,10891279.000000
RTSI [RTSIDX],Daily,20021209,0,352.570000,354.860000,349.800000,350.890000,14726890.000000
RTSI [RTSIDX],Daily,20021210,0,350.870000,351.240000,348.970000,348.970000,16352131.000000
RTSI [RTSIDX],Daily,20021211,0,347.100000,347.100000,342.550000,342.550000,13964214.000000
RTSI [RTSIDX],Daily,20021215,0,341.510000,342.630000,341.510000,342.520000,7127985.000000
RTSI [RTSIDX],Daily,20021216,0,342.700000,342.700000,338.810000,339.560000,16858503.000000
RTSI [RTSIDX],Daily,20021217,0,344.100000,347.590000,344.100000,347.330000,18634253.000000
RTSI [RTSIDX],Daily,20021218,0,346.820000,349.250000,345.940000,346.450000,11408157.000000
RTSI [RTSIDX],Daily,20021219,0,348.690000,351.420000,348.690000,350.870000,7057489.000000
RTSI [RTSIDX],Daily,20021220,0,349.660000,352.720000,349.660000,352.720000,4895835.000000
RTSI [RTSIDX],Daily,20021223,0,352.990000,354.220000,352.780000,354.220000,9341398.000000
RTSI [RTSIDX],Daily,20021224,0,354.070000,354.480000,352.510000,352.590000,6862147.000000
RTSI [RTSIDX],Daily,20021225,0,349.980000,351.240000,349.310000,351.240000,9676221.000000
RTSI [RTSIDX],Daily,20021226,0,351.920000,354.820000,351.920000,354.820000,4034856.000000
